Country,Year,Consumption,Month,Type,Region
Panama,1995,77,October,Arabica,Central & South America
Sierra Leone,1995,8,October,Robusta,Africa & Middle East
Sri Lanka,1995,20,October,Arabica/Robusta,Southeast Asia
Thailand,1995,417,October,Arabica/Robusta,Southeast Asia
Togo,1995,1,October,Robusta,Africa & Middle East
Trinidad & Tobago,1995,14,October,Robusta,Central & South America
Uganda,1995,80,October,Arabica/Robusta,Africa & Middle East
Venezuela,1995,962,October,Arabica,Central & South America
Vietnam,1995,282,October,Arabica/Robusta,Southeast Asia
Yemen,1995,0,October,Arabica,Africa & Middle East
Angola,2000,20,April,Arabica/Robusta,Africa & Middle East
Bolivia,2000,35,April,Arabica,Central & South America
Brazil,2000,"13,200",April,Arabica/Robusta,Central & South America
Burundi,2000,2,April,Arabica/Robusta,Africa & Middle East
Ecuador,2000,200,April,Arabica/Robusta,Central & South America
Indonesia,2000,"1,676",April,Arabica/Robusta,Southeast Asia
Madagascar,2000,89,April,Robusta,Africa & Middle East
Malawi,2000,1,April,Arabica,Africa & Middle East
Papua New Guinea,2000,2,April,Arabica/Robusta,Southeast Asia
Paraguay,2000,20,April,Arabica,Central & South America
Peru,2000,200,April,Arabica,Central & South America
Rwanda,2000,2,April,Arabica,Africa & Middle East
Timor-Leste,2000,0,April,Arabica,Southeast Asia
Zimbabwe,2000,4,April,Arabica,Africa & Middle East
Congo,2000,3,July,Robusta,Africa & Middle East
Cuba,2000,213,July,Arabica,Central & South America
Dominican Republic,2000,325,July,Arabica/Robusta,Central & South America
Haiti,2000,340,July,Arabica,Central & South America
Philippines,2000,820,July,Arabica/Robusta,Southeast Asia
Tanzania,2000,15,July,Arabica/Robusta,Africa & Middle East
Zambia,2000,1,July,Arabica,Africa & Middle East
Cameroon,2000,75,October,Arabica/Robusta,Africa & Middle East
Central African Republic,2000,3,October,Robusta,Africa & Middle East
Colombia,2000,"1,282",October,Arabica,Central & South America
Costa Rica,2000,375,October,Arabica,Central & South America
Cote d'Ivoire,2000,317,October,Robusta,Africa & Middle East
Democratic Republic of Congo,2000,200,October,Arabica/Robusta,Africa & Middle East
El Salvador,2000,144,October,Arabica,Central & South America
Equatorial Guinea,2000,0,October,Robusta,Africa & Middle East
Ethiopia,2000,"2,014",October,Arabica,Africa & Middle East
Gabon,2000,0,October,Robusta,Africa & Middle East
Ghana,2000,1,October,Robusta,Africa & Middle East
Guatemala,2000,300,October,Arabica/Robusta,Central & South America
Guinea,2000,50,October,Robusta,Africa & Middle East
Guyana,2000,2,October,Robusta,Central & South America
Honduras,2000,230,October,Arabica,Central & South America
India,2000,975,October,Arabica/Robusta,Southeast Asia
Jamaica,2000,12,October,Arabica,Central & South America
Kenya,2000,50,October,Arabica,Africa & Middle East
Laos,2000,0,October,Robusta,Southeast Asia
Liberia,2000,5,October,Robusta,Africa & Middle East
Mexico,2000,"1,305",October,Arabica/Robusta,Central & South America
Nepal,2000,0,October,Arabica,Southeast Asia
Nicaragua,2000,175,October,Arabica,Central & South America
Nigeria,2000,40,October,Robusta,Africa & Middle East
Panama,2000,67,October,Arabica,Central & South America
Sierra Leone,2000,5,October,Robusta,Africa & Middle East
Sri Lanka,2000,30,October,Arabica/Robusta,Southeast Asia
Thailand,2000,500,October,Arabica/Robusta,Southeast Asia
Togo,2000,2,October,Robusta,Africa & Middle East
Trinidad & Tobago,2000,14,October,Robusta,Central & South America
Uganda,2000,142,October,Arabica/Robusta,Africa & Middle East
Venezuela,2000,"1,184",October,Arabica,Central & South America
Vietnam,2000,402,October,Arabica/Robusta,Southeast Asia
Yemen,2000,0,October,Arabica,Africa & Middle East
Angola,2005,15,April,Arabica/Robusta,Africa & Middle East
Bolivia,2005,41,April,Arabica,Central & South America
Brazil,2005,"15,538",April,Arabica/Robusta,Central & South America
Burundi,2005,2,April,Arabica/Robusta,Africa & Middle East
Ecuador,2005,150,April,Arabica/Robusta,Central & South America
Indonesia,2005,"2,500",April,Arabica/Robusta,Southeast Asia
Madagascar,2005,467,April,Robusta,Africa & Middle East
Malawi,2005,1,April,Arabica,Africa & Middle East
Papua New Guinea,2005,2,April,Arabica/Robusta,Southeast Asia
Paraguay,2005,20,April,Arabica,Central & South America
Peru,2005,220,April,Arabica,Central & South America
Rwanda,2005,1,April,Arabica,Africa & Middle East
Timor-Leste,2005,0,April,Arabica,Southeast Asia
Zimbabwe,2005,4,April,Arabica,Africa & Middle East
Congo,2005,3,July,Robusta,Africa & Middle East
Cuba,2005,224,July,Arabica,Central & South America
Dominican Republic,2005,378,July,Arabica/Robusta,Central & South America
Haiti,2005,340,July,Arabica,Central & South America
Philippines,2005,"1,040",July,Arabica/Robusta,Southeast Asia
Tanzania,2005,47,July,Arabica/Robusta,Africa & Middle East
Zambia,2005,1,July,Arabica,Africa & Middle East
Cameroon,2005,69,October,Arabica/Robusta,Africa & Middle East
Central African Republic,2005,3,October,Robusta,Africa & Middle East
Colombia,2005,"1,209",October,Arabica,Central & South America
Costa Rica,2005,375,October,Arabica,Central & South America
Cote d'Ivoire,2005,317,October,Robusta,Africa & Middle East
Democratic Republic of Congo,2005,200,October,Arabica/Robusta,Africa & Middle East
El Salvador,2005,224,October,Arabica,Central & South America
Equatorial Guinea,2005,0,October,Robusta,Africa & Middle East
Ethiopia,2005,"2,609",October,Arabica,Africa & Middle East
Gabon,2005,0,October,Robusta,Africa & Middle East
Ghana,2005,2,October,Robusta,Africa & Middle East
Guatemala,2005,300,October,Arabica/Robusta,Central & South America
Guinea,2005,50,October,Robusta,Africa & Middle East
Guyana,2005,6,October,Robusta,Central & South America
Honduras,2005,230,October,Arabica,Central & South America
India,2005,"1,238",October,Arabica/Robusta,Southeast Asia
Jamaica,2005,9,October,Arabica,Central & South America
Kenya,2005,50,October,Arabica,Africa & Middle East
Laos,2005,140,October,Robusta,Southeast Asia
Liberia,2005,5,October,Robusta,Africa & Middle East
Mexico,2005,"1,725",October,Arabica/Robusta,Central & South America
Nepal,2005,0,October,Arabica,Southeast Asia
Nicaragua,2005,187,October,Arabica,Central & South America
Nigeria,2005,40,October,Robusta,Africa & Middle East
Panama,2005,67,October,Arabica,Central & South America
Sierra Leone,2005,5,October,Robusta,Africa & Middle East
Sri Lanka,2005,30,October,Arabica/Robusta,Southeast Asia
Thailand,2005,500,October,Arabica/Robusta,Southeast Asia
Togo,2005,2,October,Robusta,Africa & Middle East
Trinidad & Tobago,2005,14,October,Robusta,Central & South America
Uganda,2005,150,October,Arabica/Robusta,Africa & Middle East
Venezuela,2005,"1,457",October,Arabica,Central & South America
Vietnam,2005,800,October,Arabica/Robusta,Southeast Asia
Yemen,2005,138,October,Arabica,Africa & Middle East
Angola,2010,30,April,Arabica/Robusta,Africa & Middle East
Bolivia,2010,48,April,Arabica,Central & South America
Brazil,2010,"19,132",April,Arabica/Robusta,Central & South America
Burundi,2010,2,April,Arabica/Robusta,Africa & Middle East
Ecuador,2010,150,April,Arabica/Robusta,Central & South America
Indonesia,2010,"3,333",April,Arabica/Robusta,Southeast Asia
Madagascar,2010,467,April,Robusta,Africa & Middle East
Malawi,2010,1,April,Arabica,Africa & Middle East
Papua New Guinea,2010,1,April,Arabica/Robusta,Southeast Asia
Paraguay,2010,20,April,Arabica,Central & South America
Peru,2010,250,April,Arabica,Central & South America
Rwanda,2010,1,April,Arabica,Africa & Middle East
Timor-Leste,2010,0,April,Arabica,Southeast Asia
Zimbabwe,2010,4,April,Arabica,Africa & Middle East
Congo,2010,3,July,Robusta,Africa & Middle East
Cuba,2010,220,July,Arabica,Central & South America
Dominican Republic,2010,378,July,Arabica/Robusta,Central & South America
Haiti,2010,340,July,Arabica,Central & South America
Philippines,2010,"2,125",July,Arabica/Robusta,Southeast Asia
Tanzania,2010,47,July,Arabica/Robusta,Africa & Middle East
Zambia,2010,0,July,Arabica,Africa & Middle East
Cameroon,2010,68,October,Arabica/Robusta,Africa & Middle East
Central African Republic,2010,10,October,Robusta,Africa & Middle East
Colombia,2010,"1,311",October,Arabica,Central & South America
Costa Rica,2010,407,October,Arabica,Central & South America
Cote d'Ivoire,2010,317,October,Robusta,Africa & Middle East
Democratic Republic of Congo,2010,200,October,Arabica/Robusta,Africa & Middle East
El Salvador,2010,276,October,Arabica,Central & South America
Equatorial Guinea,2010,0,October,Robusta,Africa & Middle East
Ethiopia,2010,"3,171",October,Arabica,Africa & Middle East
Gabon,2010,1,October,Robusta,Africa & Middle East
Ghana,2010,2,October,Robusta,Africa & Middle East
Guatemala,2010,340,October,Arabica/Robusta,Central & South America
Guinea,2010,50,October,Robusta,Africa & Middle East
Guyana,2010,9,October,Robusta,Central & South America
Honduras,2010,335,October,Arabica,Central & South America
India,2010,"1,325",October,Arabica/Robusta,Southeast Asia
Jamaica,2010,9,October,Arabica,Central & South America
Kenya,2010,50,October,Arabica,Africa & Middle East
Laos,2010,150,October,Robusta,Southeast Asia
Liberia,2010,5,October,Robusta,Africa & Middle East
Mexico,2010,"2,354",October,Arabica/Robusta,Central & South America
Nepal,2010,0,October,Arabica,Southeast Asia
Nicaragua,2010,203,October,Arabica,Central & South America
Nigeria,2010,40,October,Robusta,Africa & Middle East
Panama,2010,67,October,Arabica,Central & South America
Sierra Leone,2010,5,October,Robusta,Africa & Middle East
Sri Lanka,2010,35,October,Arabica/Robusta,Southeast Asia
Thailand,2010,775,October,Arabica/Robusta,Southeast Asia
Togo,2010,2,October,Robusta,Africa & Middle East
Trinidad & Tobago,2010,10,October,Robusta,Central & South America
Uganda,2010,204,October,Arabica/Robusta,Africa & Middle East
Venezuela,2010,"1,650",October,Arabica,Central & South America
Vietnam,2010,"1,583",October,Arabica/Robusta,Southeast Asia
Yemen,2010,130,October,Arabica,Africa & Middle East
Angola,2015,30,April,Arabica/Robusta,Africa & Middle East
Bolivia,2015,55,April,Arabica,Central & South America
Brazil,2015,"20,508",April,Arabica/Robusta,Central & South America
Burundi,2015,2,April,Arabica/Robusta,Africa & Middle East
Ecuador,2015,155,April,Arabica/Robusta,Central & South America
Indonesia,2015,"4,550",April,Arabica/Robusta,Southeast Asia
Madagascar,2015,370,April,Robusta,Africa & Middle East
