Country,Year,Export,Type,Month
Indonesia,2000,"5,358",Arabica/Robusta,April
Jamaica,2000,29,Arabica,October
Kenya,2000,"1,328",Arabica,October
Laos,2000,255,Robusta,October
Liberia,2000,4,Robusta,October
Madagascar,2000,216,Robusta,April
Malawi,2000,61,Arabica,April
Mexico,2000,"5,304",Arabica/Robusta,October
Nepal,2000,0,Arabica,October
Nicaragua,2000,"1,367",Arabica,October
Nigeria,2000,7,Robusta,October
Panama,2000,72,Arabica,October
Papua New Guinea,2000,"1,043",Arabica/Robusta,April
Paraguay,2000,5,Arabica,April
Peru,2000,"2,362",Arabica,April
Philippines,2000,5,Arabica/Robusta,July
Sierra Leone,2000,40,Robusta,October
Sri Lanka,2000,2,Arabica/Robusta,October
Tanzania,2000,740,Arabica/Robusta,July
Thailand,2000,970,Arabica/Robusta,October
Timor-Leste,2000,1,Arabica,April
Togo,2000,283,Robusta,October
Trinidad & Tobago,2000,3,Robusta,October
Uganda,2000,"2,513",Arabica/Robusta,October
Venezuela,2000,38,Arabica,October
Vietnam,2000,"11,618",Arabica/Robusta,October
Yemen,2000,58,Arabica,October
Zambia,2000,65,Arabica,July
Zimbabwe,2000,117,Arabica,April
Angola,2005,5,Arabica/Robusta,April
Bolivia,2005,84,Arabica,April
Brazil,2005,"26,198",Arabica/Robusta,April
Burundi,2005,371,Arabica/Robusta,April
Cameroon,2005,704,Arabica/Robusta,October
Central African Republic,2005,47,Robusta,October
Colombia,2005,"10,871",Arabica,October
Congo,2005,0,Robusta,July
Costa Rica,2005,"1,480",Arabica,October
Cote d'Ivoire,2005,"1,754",Robusta,October
Cuba,2005,24,Arabica,July
Democratic Republic of Congo,2005,158,Arabica/Robusta,October
Dominican Republic,2005,42,Arabica/Robusta,July
Ecuador,2005,993,Arabica/Robusta,April
El Salvador,2005,"1,280",Arabica,October
Equatorial Guinea,2005,0,Robusta,October
Ethiopia,2005,"2,435",Arabica,October
Gabon,2005,0,Robusta,October
Ghana,2005,18,Robusta,October
Guatemala,2005,"3,466",Arabica/Robusta,October
Guinea,2005,279,Robusta,October
Guyana,2005,1,Robusta,October
Haiti,2005,25,Arabica,July
Honduras,2005,"2,392",Arabica,October
India,2005,"2,829",Arabica/Robusta,October
Indonesia,2005,"6,744",Arabica/Robusta,April
Jamaica,2005,15,Arabica,October
Kenya,2005,673,Arabica,October
Laos,2005,237,Robusta,October
Liberia,2005,1,Robusta,October
Madagascar,2005,96,Robusta,April
Malawi,2005,21,Arabica,April
Mexico,2005,"1,985",Arabica/Robusta,October
Nepal,2005,1,Arabica,October
Nicaragua,2005,"1,003",Arabica,October
Nigeria,2005,8,Robusta,October
Panama,2005,90,Arabica,October
Papua New Guinea,2005,"1,200",Arabica/Robusta,April
Paraguay,2005,24,Arabica,April
Peru,2005,"2,369",Arabica,April
Philippines,2005,34,Arabica/Robusta,July
Sierra Leone,2005,20,Robusta,October
Sri Lanka,2005,3,Arabica/Robusta,October
Tanzania,2005,712,Arabica/Robusta,July
Thailand,2005,375,Arabica/Robusta,October
Timor-Leste,2005,18,Arabica,April
Togo,2005,164,Robusta,October
Trinidad & Tobago,2005,1,Robusta,October
Uganda,2005,"2,369",Arabica/Robusta,October
Venezuela,2005,22,Arabica,October
Vietnam,2005,"13,432",Arabica/Robusta,October
Yemen,2005,78,Arabica,October
Zambia,2005,106,Arabica,July
Zimbabwe,2005,71,Arabica,April
Angola,2010,4,Arabica/Robusta,April
Bolivia,2010,78,Arabica,April
Brazil,2010,"33,167",Arabica/Robusta,April
Burundi,2010,307,Arabica/Robusta,April
Cameroon,2010,794,Arabica/Robusta,October
Central African Republic,2010,95,Robusta,October
Colombia,2010,"7,822",Arabica,October
Congo,2010,0,Robusta,July
Costa Rica,2010,"1,200",Arabica,October
Cote d'Ivoire,2010,"1,912",Robusta,October
Cuba,2010,5,Arabica,July
Democratic Republic of Congo,2010,162,Arabica/Robusta,October
Dominican Republic,2010,41,Arabica/Robusta,July
Ecuador,2010,"1,202",Arabica/Robusta,April
El Salvador,2010,"1,082",Arabica,October
Equatorial Guinea,2010,0,Robusta,October
Ethiopia,2010,"3,324",Arabica,October
Gabon,2010,1,Robusta,October
Ghana,2010,7,Robusta,October
Guatemala,2010,"3,468",Arabica/Robusta,October
Guinea,2010,406,Robusta,October
Guyana,2010,1,Robusta,October
Haiti,2010,9,Arabica,July
Honduras,2010,"3,349",Arabica,October
India,2010,"4,647",Arabica/Robusta,October
Indonesia,2010,"5,489",Arabica/Robusta,April
Jamaica,2010,15,Arabica,October
Kenya,2010,531,Arabica,October
Laos,2010,288,Robusta,October
