Port,Quarter,Ship Type,Amount
Marsaxlokk,2021 Q1,General cargo,0
Mgarr,2021 Q1,General cargo,3069
Valletta,2021 Q1,General cargo,5
Cirkewwa,2021 Q2,General cargo,3627
Marsaxlokk,2021 Q2,General cargo,0
Mgarr,2021 Q2,General cargo,3628
Valletta,2021 Q2,General cargo,0
Cirkewwa,2021 Q3,General cargo,4276
Marsaxlokk,2021 Q3,General cargo,0
Mgarr,2021 Q3,General cargo,4276
Valletta,2021 Q3,General cargo,0
Cirkewwa,2021 Q4,General cargo,4241
Marsaxlokk,2021 Q4,General cargo,0
Mgarr,2021 Q4,General cargo,4238
Valletta,2021 Q4,General cargo,0
Cirkewwa,2022 Q1,General cargo,3942
Marsaxlokk,2022 Q1,General cargo,0
Mgarr,2022 Q1,General cargo,3941
Valletta,2022 Q1,General cargo,0
Cirkewwa,2022 Q2,General cargo,4337
Marsaxlokk,2022 Q2,General cargo,0
Mgarr,2022 Q2,General cargo,4338
Valletta,2022 Q2,General cargo,0
Cirkewwa,2022 Q3,General cargo,4569
Marsaxlokk,2022 Q3,General cargo,0
Mgarr,2022 Q3,General cargo,4569
Valletta,2022 Q3,General cargo,0
Cirkewwa,2021 Q1,Passenger ship,0
Marsaxlokk,2021 Q1,Passenger ship,0
Mgarr,2021 Q1,Passenger ship,0
Valletta,2021 Q1,Passenger ship,0
Cirkewwa,2021 Q2,Passenger ship,0
Marsaxlokk,2021 Q2,Passenger ship,0
Mgarr,2021 Q2,Passenger ship,530
Valletta,2021 Q2,Passenger ship,556
Cirkewwa,2021 Q3,Passenger ship,0
Marsaxlokk,2021 Q3,Passenger ship,0
Mgarr,2021 Q3,Passenger ship,1299
Valletta,2021 Q3,Passenger ship,2188
Cirkewwa,2021 Q4,Passenger ship,0
Marsaxlokk,2021 Q4,Passenger ship,0
Mgarr,2021 Q4,Passenger ship,0
Valletta,2021 Q4,Passenger ship,1467
Cirkewwa,2022 Q1,Passenger ship,0
Marsaxlokk,2022 Q1,Passenger ship,0
Mgarr,2022 Q1,Passenger ship,736
Valletta,2022 Q1,Passenger ship,783
Cirkewwa,2022 Q2,Passenger ship,0
Marsaxlokk,2022 Q2,Passenger ship,0
Mgarr,2022 Q2,Passenger ship,858
Valletta,2022 Q2,Passenger ship,805
Cirkewwa,2022 Q3,Passenger ship,0
Marsaxlokk,2022 Q3,Passenger ship,0
Mgarr,2022 Q3,Passenger ship,1092
Valletta,2022 Q3,Passenger ship,1203
