Airport,Year,Amount
Humberto Delgado Airport (Lisbon Portela Airport),2021,24556
Humberto Delgado Airport (Lisbon Portela Airport),2022,42608
Henri Coand? International Airport,2018,49281
Henri Coand? International Airport,2019,42480
Henri Coand? International Airport,2020,0
Henri Coand? International Airport,2021,0
Henri Coand? International Airport,2022,66686
Belgrade Nikola Tesla Airport,2018,49954
Belgrade Nikola Tesla Airport,2019,58719
Belgrade Nikola Tesla Airport,2020,0
Belgrade Nikola Tesla Airport,2021,0
Belgrade Nikola Tesla Airport,2022,41743
Stockholm-Arlanda Airport,2018,43541
Stockholm-Arlanda Airport,2019,44342
Stockholm-Arlanda Airport,2020,0
Stockholm-Arlanda Airport,2021,0
Stockholm-Arlanda Airport,2022,0
?stanbul Airport,2018,0
?stanbul Airport,2019,115707
?stanbul Airport,2020,51283
?stanbul Airport,2021,79837
?stanbul Airport,2022,149482
Birmingham International Airport,2018,91772
Birmingham International Airport,2019,89681
Birmingham International Airport,2020,0
Birmingham International Airport,2021,29063
Birmingham International Airport,2022,64408
Manchester Airport,2018,233401
Manchester Airport,2019,237675
Manchester Airport,2020,46939
Manchester Airport,2021,83687
Manchester Airport,2022,199655
London Luton Airport,2018,115843
London Luton Airport,2019,114711
London Luton Airport,2020,25453
London Luton Airport,2021,48317
London Luton Airport,2022,67244
London Gatwick Airport,2018,390508
London Gatwick Airport,2019,395354
London Gatwick Airport,2020,6717
London Gatwick Airport,2021,64438
London Gatwick Airport,2022,292459
London Heathrow Airport,2018,208431
London Heathrow Airport,2019,199381
London Heathrow Airport,2020,60836
London Heathrow Airport,2021,121840
London Heathrow Airport,2022,214240
Edinburgh Airport,2018,58027
Edinburgh Airport,2019,58354
Edinburgh Airport,2020,0
Edinburgh Airport,2021,0
Edinburgh Airport,2022,0
London Stansted Airport,2018,109963
London Stansted Airport,2019,114747
London Stansted Airport,2020,25116
London Stansted Airport,2021,50159
London Stansted Airport,2022,105240
