Country,Quarter,Amount
Angola,2021 Q4,12
Angola,2022 Q1,28
Angola,2022 Q2,13
Angola,2022 Q3,14
Benin,2021 Q1,16
Benin,2021 Q2,8
Benin,2021 Q3,6
Benin,2021 Q4,9
Benin,2022 Q1,4
Benin,2022 Q2,0
Benin,2022 Q3,0
Cameroon,2021 Q1,11
Cameroon,2021 Q2,10
Cameroon,2021 Q3,41
Cameroon,2021 Q4,42
Cameroon,2022 Q1,38
Cameroon,2022 Q2,21
Cameroon,2022 Q3,34
Cape Verde,2021 Q1,4
Cape Verde,2021 Q2,2
Cape Verde,2021 Q3,8
Cape Verde,2021 Q4,6
Cape Verde,2022 Q1,8
Cape Verde,2022 Q2,16
Cape Verde,2022 Q3,6
Congo,2021 Q1,10
Congo,2021 Q2,6
Congo,2021 Q3,6
Congo,2021 Q4,4
Congo,2022 Q1,1
Congo,2022 Q2,18
Congo,2022 Q3,3
Cote d'Ivoire,2021 Q1,6
Cote d'Ivoire,2021 Q2,23
Cote d'Ivoire,2021 Q3,1
Cote d'Ivoire,2021 Q4,50
Cote d'Ivoire,2022 Q1,8
Cote d'Ivoire,2022 Q2,2
Cote d'Ivoire,2022 Q3,4
Djibouti,2021 Q1,9
Djibouti,2021 Q2,24
Djibouti,2021 Q3,36
Djibouti,2021 Q4,73
Djibouti,2022 Q1,28
Djibouti,2022 Q2,6
Djibouti,2022 Q3,0
Egypt,2021 Q1,692
Egypt,2021 Q2,246
Egypt,2021 Q3,380
Egypt,2021 Q4,195
Egypt,2022 Q1,253
Egypt,2022 Q2,246
Egypt,2022 Q3,237
Gabon,2021 Q1,1
Gabon,2021 Q2,6
Gabon,2021 Q3,1
Gabon,2021 Q4,0
Gabon,2022 Q1,0
Gabon,2022 Q2,0
Gabon,2022 Q3,0
Gambia,2021 Q1,10
Gambia,2021 Q2,0
Gambia,2021 Q3,2
Gambia,2021 Q4,6
Gambia,2022 Q1,8
Gambia,2022 Q2,4
Gambia,2022 Q3,6
Ghana,2021 Q1,37
Ghana,2021 Q2,20
Ghana,2021 Q3,4
Ghana,2021 Q4,31
Ghana,2022 Q1,37
Ghana,2022 Q2,25
Ghana,2022 Q3,19
Guinea,2021 Q1,6
Guinea,2021 Q2,4
Guinea,2021 Q3,11
Guinea,2021 Q4,0
Guinea,2022 Q1,0
Guinea,2022 Q2,0
Guinea,2022 Q3,0
Kenya,2021 Q1,15
Kenya,2021 Q2,20
Kenya,2021 Q3,38
Kenya,2021 Q4,62
Kenya,2022 Q1,22
Kenya,2022 Q2,49
Kenya,2022 Q3,56
Liberia,2021 Q1,6
Liberia,2021 Q2,8
Liberia,2021 Q3,6
Liberia,2021 Q4,6
Liberia,2022 Q1,12
Liberia,2022 Q2,10
Liberia,2022 Q3,5
Libya,2021 Q1,2139
Libya,2021 Q2,2018
Libya,2021 Q3,2353
Libya,2021 Q4,2238
Libya,2022 Q1,1890
Libya,2022 Q2,2486
Libya,2022 Q3,1179
Madagascar,2021 Q1,1
Madagascar,2021 Q2,2
Madagascar,2021 Q3,2
Madagascar,2021 Q4,3
Madagascar,2022 Q1,23
Madagascar,2022 Q2,0
Madagascar,2022 Q3,0
Mauritania,2021 Q1,0
Mauritania,2021 Q2,2
Mauritania,2021 Q3,3
Mauritania,2021 Q4,0
Mauritania,2022 Q1,1
Mauritania,2022 Q2,2
Mauritania,2022 Q3,0
Mauritius,2021 Q1,7
Mauritius,2021 Q2,9
Mauritius,2021 Q3,20
Mauritius,2021 Q4,15
Mauritius,2022 Q1,24
Mauritius,2022 Q2,9
Mauritius,2022 Q3,15
Morocco,2021 Q1,97
Morocco,2021 Q2,121
